Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2023/3/11,0,0.3,0,0,29.1,1.7,2.9,0.5,0,0,0,0,0,0.1,15.8,0,0,0,0,0.6,1.7,0,15.6,0,0,2.2,0.2,7.2,0.1,8,0,5.3,0,7.8,0.1,0,0,2.2,0.1,0,0,0,0,15.6,0.2,0,0.2,0.2,0.3,0
2023/3/12,0,0.8,0,0,16.9,8.9,0,0,0,0,0,0,7,9.8,1,0.4,0,0,0,2.6,0,0.4,5.8,0,0,0,0,8,0,0.2,0,0.2,0,0,3.2,0,0,4.5,0,0,0,0,0,21.8,0,2.4,0,4.7,13,0
2023/3/13,0,0.3,0,0,6,0,0.4,0,0,0,0,9,0.1,0.2,0,0,0,0,0,2.3,0.2,2.9,0.1,0,0,0,0,0.7,3.5,0,0,0,0,0,1.9,0,1.4,11.2,0,0,0,0,0,0,1.6,0,0,1.2,0.8,0
2023/3/14,0,0,0,0,189.7,0,28,0,0,0,0,38.4,0,0,0,0,0,0,3.9,0,21.4,0,0,0,0,0,0,2,11.4,4.1,0,18.8,0,0,0.2,0,12.8,0,0,0,0,0,0,0,20.9,0,0,1.4,0,0
2023/3/15,0,0,0,0,4.8,0,1.9,0,0,0,0,26.6,0,0,0,0,0,0,1.6,0,2.7,0,0,0,0,4.6,0,0.1,2,0,0,0,0,0.2,0,0,2.5,0,0.7,0,0,0,0,3.2,0.9,0,0,0,0,0
2023/3/16,0,0,0,0,0.1,20,0,0,0,0,0,0,0,0,1.2,0,0,0,0,0,0,0,2.4,0,0,7.2,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0.2,0,0,0,4.1,0,0,0,8,1.6
2023/3/17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,1.6,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6,0,0,0,10.5,0
2023/3/18,0,0,0,0,0.2,3.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0.9,1.6,0,0,0.1,0,0,0,0,0,0,0.5,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0
2023/3/19,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2023/3/20,0,0,0,0,9.1,0.3,0,0,0,0,0,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,10.7,0,0,5.5,0,0,0,0,0,4.6,0,0,0,0,0,0,17.7,0.7,0,0,0,0,0
